"","idx","positive","negative","sentiment","covid","DateTime","Text"
"60",60,3,4,-1,FALSE,"2020-04-07 15:04:16+00:00","The W.H.O. really blew it. For some reason, funded largely by the United States, yet very China centric. We will be giving that a good look. Fortunately I rejected their advice on keeping our borders open to China early on. Why did they give us such a faulty recommendation?"
"61",61,4,1,3,FALSE,"2020-04-07 04:35:42+00:00","Vote today, Tuesday, for highly respected Republican, Justice Daniel Kelly. Tough on Crime, loves your Military, Vets, Farmers, & will save your 2nd Amendment. A BIG VOTE!"
"62",62,2,0,2,FALSE,"2020-04-07 03:39:01+00:00","Great job being done by Dr. Nicole Saphier on @FoxNews!"
"63",63,0,0,0,FALSE,"2020-04-07 03:32:12+00:00",""
"64",64,0,0,0,FALSE,"2020-04-07 00:10:56+00:00",""
"65",65,0,0,0,FALSE,"2020-04-07 00:10:15+00:00",""
"66",66,2,0,2,TRUE,"2020-04-07 00:09:52+00:00","The Wisconsin Supreme Court ruled that tomorrow’s election will proceed as scheduled. VOTE for Justice Daniel Kelly tomorrow, and be safe!"
"67",67,1,0,1,FALSE,"2020-04-06 21:25:42+00:00","White House news conference at 5:45 P.M. Eastern. Thank you!"
"68",68,3,0,3,FALSE,"2020-04-06 21:03:59+00:00","Congratulations to State Representative Karen Whitsett of Michigan. So glad you are getting better!"
"69",69,0,0,0,FALSE,"2020-04-06 18:32:32+00:00",""
"70",70,1,4,-3,FALSE,"2020-04-06 15:34:27+00:00","Joe Biden wanted the date for the Democrat National Convention moved to a later time period. Now he wants a “Virtual” Convention, one where he doesn’t have to show up. Gee, I wonder why? Also, what ever happened to that phone call he told the Fake News he wanted to make to me?"
"71",71,2,5,-3,TRUE,"2020-04-06 13:08:58+00:00","Advertising in the Failing New York Times is WAY down. Washington Post is not much better. I can’t say whether this is because they are Fake News sources of information, to a level that few can understand, or the Virus is just plain beating them up. Fake News is bad for America!"
"72",72,0,0,0,FALSE,"2020-04-06 11:55:14+00:00","LIGHT AT THE END OF THE TUNNEL!"
"73",73,1,0,1,FALSE,"2020-04-06 11:54:33+00:00","USA STRONG!"
"74",74,1,5,-4,FALSE,"2020-04-06 11:53:00+00:00","Thank you Gayle. I only wish the public could fully understand how corrupt & dishonest so much of our Lamestream Media is. My Press Conferences are vital. They are reaching millions of people that are not being told the truth, & haven’t been for years (Witch-Hunts, Fake News)!"
"75",75,1,4,-3,TRUE,"2020-04-06 11:49:57+00:00","For humanitarian reasons, the passengers from the two CoronaVirus stricken cruise ships have been given medical treatment and, when appropriate, allowed to disembark, under strict supervision. Very carefully done. People we’re dying & no other countries would allow them to dock!"
"76",76,2,3,-1,FALSE,"2020-04-06 11:40:45+00:00",".@gayletrotter “To this day the establishment media have not admitted that they were wrong and the President was right.” @FoxNews"
"77",77,0,0,0,FALSE,"2020-04-06 00:51:56+00:00",""
"78",78,0,0,0,FALSE,"2020-04-06 00:51:50+00:00",""
"79",79,1,0,1,FALSE,"2020-04-05 22:19:59+00:00","White House news conference at 6:45 P.M. Eastern. Thank you!"
"80",80,4,2,2,FALSE,"2020-04-05 19:35:34+00:00","We are learning much about the Invisible Enemy. It is tough and smart, but we are tougher and smarter!"
"81",81,1,0,1,FALSE,"2020-04-05 16:30:32+00:00","Thank you Gayle!"
"82",82,0,0,0,FALSE,"2020-04-05 16:26:33+00:00","I agree!"
"83",83,0,1,-1,FALSE,"2020-04-05 16:25:57+00:00","A very biased “journalist”."
"84",84,2,0,2,FALSE,"2020-04-05 16:23:40+00:00","A great & wonderful woman!"
"85",85,0,1,-1,FALSE,"2020-04-05 16:20:41+00:00","Corrected Fake News!"
"86",86,1,0,1,FALSE,"2020-04-05 02:02:59+00:00","He wants to raise taxes all over our Country!"
"87",87,0,1,-1,FALSE,"2020-04-05 01:59:39+00:00","Disgraceful!"
"88",88,3,0,3,FALSE,"2020-04-04 23:25:14+00:00","Palm Sunday is the beginning of a Holy week for many people of Faith and a great day to lift our voices in Prayer. I will be tuning into Pastor @greglaurie at @harvestorg Church in Riverside, California tomorrow at 11:00 A.M. Eastern."
"89",89,0,0,0,FALSE,"2020-04-04 19:40:07+00:00","....We will get through this together, and bats will be swinging before you know it. In the meantime, take care of mom and dad, and know that this will not be forever! @littleleagueceo"
"90",90,0,1,-1,FALSE,"2020-04-04 19:40:06+00:00","To all of our youth who are missing the start of their @LittleLeague seasons, hang in there! We will get you back out on the fields, and know that you will be playing baseball soon...."
