,DateTime,Text
126,2020-03-31 19:51:32+00:00,My Administration is helping U.S. auto workers by replacing the failed Obama Emissions Rule. Impossible to satisfy its Green New Deal Standard; Lots of unnecessary and expensive penalties to car buyers!
127,2020-03-31 19:50:29+00:00,"Great news! American families will now be able to buy safer, more affordable, and environmentally friendly cars with our new SAFE VEHICLES RULE. Get rid of those old, unsafe clunkers. Build better and safer American cars and create American jobs. Buy American!"
128,2020-03-31 14:55:00+00:00,Thank you Mike!
129,2020-03-31 14:48:43+00:00,"With interest rates for the United States being at ZERO, this is the time to do our decades long awaited Infrastructure Bill. It should be VERY BIG & BOLD, Two Trillion Dollars, and be focused solely on jobs and rebuilding the once great infrastructure of our Country! Phase 4"
130,2020-03-31 13:18:13+00:00,"I watched a portion of low rated (very) Morning Psycho (Joe) this Morning in order to see what Nancy Pelosi had to say, & what moves she was planning to further hurt our Country. Actually, other than her usual complaining that I’m a terrible person, she wasn’t bad. Still praying!"
131,2020-03-31 11:27:06+00:00,"“New York Governor Cuomo says President Trump has been “very helpful.” @foxandfriends Thank you, everybody is working very hard!"
132,2020-03-30 22:24:57+00:00,
133,2020-03-30 20:50:35+00:00,White House news conference at 5:00 P.M. Eastern. Thank you!
134,2020-03-30 17:46:15+00:00,
135,2020-03-30 17:11:59+00:00,"On #NationalDoctorsDay, we recognize the remarkable men &amp; women who treat their fellow Americans, find cures for the diseases &amp; illnesses we face, and never waver in their efforts to treat every patient with the dignity, respect, and empathy they deserve."
136,2020-03-30 17:05:33+00:00,
137,2020-03-30 11:17:10+00:00,"Nancy Pelosi and the Democrats delayed the Workers Help/Stimulus Bill by over a week, trying to add real “junk” into the Bill. Got some bad things, having nothing to do with those affected by the Virus, included. Republicans need their votes until we WIN BACK THE HOUSE IN 2020!"
138,2020-03-30 11:07:25+00:00,Thank you Dr. Hahn & the FDA for your fast approval of this respected Ohio company recommended by Governor @MikeDeWine. Great potential!
139,2020-03-30 05:15:37+00:00,Will be interviewed on @foxandfriends at 7:55 A.M. USA STRONG!
140,2020-03-29 23:43:14+00:00,
141,2020-03-29 23:43:07+00:00,
142,2020-03-29 20:57:55+00:00,Will be starting The White House news conference at 5:30 P.M. Eastern.
